agent,seed,temperature,sigma,prevalence,morisita,recall,det_per_joule,precision,false_alarms,time_to_first_detection,coverage,episode_ece,kind
GreedyEntropy,4,1.0,4.0,0.13194444444444445,0.935672514619883,0.44210526315789467,0.04441701762735582,0.38218990539520864,13.35,9.85,0.3878472222222223,0.07889241342608164,clu
REINFORCE,4,1.0,2.5,0.1597222222222222,1.1383399209486167,0.2673913043478261,0.032485162420949856,0.6499999525328473,3.65,1.0,0.14409722222222224,0.07681094943882719,clu
REINFORCE,0,1.0,4.0,0.041666666666666664,1.0666666666666667,0.09166666666666667,0.0029162248144220574,0.25416666666666665,1.3,86.0,0.04861111111111112,0.058048328928613425,clu
REINFORCE,1,1.0,4.0,0.2013888888888889,1.1428571428571428,0.2603448275862069,0.04002673815342945,0.6545341464091463,4.15,0.5,0.2861111111111111,0.063671306731284,clu
REINFORCE,2,1.0,4.0,0.13194444444444445,1.2163742690058479,0.28421052631578947,0.028596923298518574,0.6350877594627594,3.4,0.95,0.16944444444444445,0.0735284726981964,clu
REINFORCE,3,1.0,4.0,0.14583333333333334,0.7619047619047619,0.26666666666666666,0.02962883262617158,0.5586444805194805,4.75,10.25,0.3197916666666666,0.0648902033011442,clu
Lawnmower,0,1.0,7.0,0.034722222222222224,1.6,0.64,0.01694915254237292,0.2964132844279903,7.95,27.2,0.7847222222222221,0.06848397042475615,clu
Lawnmower,1,1.0,7.0,0.1111111111111111,0.9333333333333333,0.521875,0.044226694915254335,0.5414017864230712,7.1,4.75,0.7847222222222221,0.0751717666360056,clu
Lawnmower,2,1.0,7.0,0.0763888888888889,0.5818181818181818,0.5954545454545455,0.034692796610169566,0.5219481906981907,6.3,19.6,0.7847222222222221,0.07423946909055533,clu
Lawnmower,3,1.0,7.0,0.09722222222222222,0.5274725274725275,0.35,0.025953389830508534,0.4394200570671159,7.05,1.9,0.7847222222222221,0.07357786155993054,clu
Lawnmower,4,1.0,7.0,0.0625,0.4444444444444444,0.6055555555555556,0.028866525423728872,0.4197104617518703,7.85,19.15,0.7847222222222221,0.06725054822932873,clu
GreedyEntropy,0,1.0,7.0,0.034722222222222224,1.6,0.38,0.01004783180253133,0.12700063803585476,13.45,48.25,0.4041666666666667,0.06841396213324115,clu
GreedyEntropy,1,1.0,7.0,0.1111111111111111,0.9333333333333333,0.446875,0.03779486960860271,0.3490105182429183,13.15,13.8,0.3892361111111111,0.07885695863620013,clu
GreedyEntropy,2,1.0,7.0,0.0763888888888889,0.5818181818181818,0.3999999999999999,0.02329767607484428,0.2567398387347236,12.55,20.15,0.3791666666666667,0.08050965262242209,clu
GreedyEntropy,3,1.0,7.0,0.09722222222222222,0.5274725274725275,0.41071428571428575,0.030442036705470306,0.2757324896449019,14.6,1.5,0.38159722222222225,0.07179141753726957,clu
