agent,seed,temperature,sigma,prevalence,morisita,recall,det_per_joule,precision,false_alarms,time_to_first_detection,coverage,episode_ece,kind
Random,1,2.0,1.6,0.2361111111111111,1.7397504456327986,0.31029411764705883,0.0558724855125314,0.4798924177254486,11.15,1.85,0.353125,0.12681866889980392,cal
Random,2,2.0,1.6,0.1597222222222222,1.3280632411067195,0.2586956521739131,0.03150338451176881,0.36145681610271396,10.5,19.55,0.3527777777777778,0.13943388754612712,cal
Random,3,2.0,1.6,0.2152777777777778,1.3419354838709678,0.3096774193548386,0.050796241575892284,0.46035724618294616,10.75,3.75,0.34097222222222223,0.13124077999145656,cal
Random,4,2.0,1.6,0.1527777777777778,2.0086580086580086,0.32045454545454544,0.03732778281688305,0.39245998046501146,10.85,10.95,0.35798611111111117,0.12472951346766678,cal
Lawnmower,0,2.0,1.6,0.0763888888888889,4.072727272727272,0.34545454545454535,0.02012711864406784,0.5783928571428572,3.05,53.25,0.7847222222222221,0.12113182567928105,cal
Lawnmower,1,2.0,1.6,0.2361111111111111,1.7397504456327986,0.27794117647058825,0.05005296610169502,0.7834092867916398,2.7,1.85,0.7847222222222221,0.1264798130854544,cal
Lawnmower,2,2.0,1.6,0.1597222222222222,1.3280632411067195,0.2673913043478261,0.03257415254237295,0.7296013708513709,2.35,12.25,0.7847222222222221,0.13011271615739806,cal
Lawnmower,3,2.0,1.6,0.2152777777777778,1.3419354838709678,0.37258064516129025,0.06117584745762726,0.8493356095658727,2.1,2.1,0.7847222222222221,0.12888374351185722,cal
Lawnmower,4,2.0,1.6,0.1527777777777778,2.0086580086580086,0.3045454545454545,0.035487288135593306,0.7435518648018647,2.35,17.15,0.7847222222222221,0.12584571282412865,cal
GreedyEntropy,0,2.0,1.6,0.0763888888888889,4.072727272727272,0.2772727272727272,0.016123070146463515,0.10847857684996172,24.45,63.35,0.2607638888888889,0.12628277445041433,cal
GreedyEntropy,1,2.0,1.6,0.2361111111111111,1.7397504456327986,0.3647058823529412,0.06568808801131107,0.370334491502072,20.45,1.0,0.2892361111111111,0.12039281927201709,cal
GreedyEntropy,2,2.0,1.6,0.1597222222222222,1.3280632411067195,0.2782608695652174,0.03391429979338044,0.21609537587346264,22.55,14.9,0.271875,0.13793522715962594,cal
GreedyEntropy,3,2.0,1.6,0.2152777777777778,1.3419354838709678,0.2693548387096774,0.04423580837524624,0.2590581262473329,23.0,1.0,0.2788194444444444,0.13240886478221797,cal
GreedyEntropy,4,2.0,1.6,0.1527777777777778,2.0086580086580086,0.3931818181818182,0.045711643443770066,0.27209690256443597,22.55,8.4,0.27673611111111107,0.126363971598121,cal
REINFORCE,4,1.0,1.6,0.1527777777777778,2.0086580086580086,0.20000000000000004,0.023302045938967047,0.4407774007038713,5.9,1.45,0.1684027777777778,0.07473437852039735,cal
